rowname	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50
GSM4602241	0.2904187533598491	0.15513556112796062	-0.1813690453887142	-0.015744137519858176	0.03923584398956012	-0.14653615329974343	0.23675223782812327	-0.002831529609588379	0.24061256974742218	0.16390836221402244	-0.2887307995684039	-0.09532083292414567	-0.26442556751364155	-0.23428189364054633	-0.08990897031546227	0.004657438313008966	-0.1961048286331653	0.3005652067907191	0.312677497842806	0.06368381869898351	0.08725077756679642	-0.19944742486651706	0.2686564529371909	0.04917691457105272	-0.011470859619847062	0.16570830563524824	0.31976091905434	0.17664879445175397	0.03376303010070417	0.09264955712543144	0.30764872629446866	-0.07098693353132102	0.04494463369088941	-0.04148129548521992	0.1764342586643518	-0.1502373831843764	0.010494687142522996	0.044794252011414126	-0.28323092413270123	0.3342699573775156	-0.04305961888092219	0.07704070189947011	0.27870094186028876	-0.24020348770138597	-0.20158935053304383	0.3219516635224968	0.07540505095111501	0.2820204135349415	-0.012066747162197397	0.17261890058853252
GSM4602242	0.03399843756605214	-0.07351048132068948	-0.024663881154888073	-0.0206087569421744	-0.070522802810017493	-0.111418743904901	0.034209977018730686	-0.03500679107262317	-0.05622187881284221	-2.7974063519137227e-4	-0.05484504810205951	-0.1304673587809272	0.027683905917566892	-0.09454057676622073	-0.05773399371815632	0.028927399730453024	-0.17938727859744275	0.5040796388335054	0.3774172087822887	0.078215964815071	-0.0908543897341817	-0.2464355422885754	-0.023643597705992975	-0.013749688186877912	-0.06986836516763333	-0.10469431680165132	-0.0641053853845524	-0.1114469821433857	-0.21078998369525595	0.054601422221023294	0.004008606041882773	-0.14319049479839135	-0.12377510494375539	-0.17144172690306364	-0.205681560313919	-0.3134748266531508	0.005984057644683682	-0.03474776637570173	-0.12902757614743982	0.17383844398136322	-0.017659222094050686	-0.07495226538024793	0.019122477100962487	0.07192709126295556	0.07104070308623459	0.12180330750035781	-0.04322270047472952	0.010535203744981486	0.08000016604688823	0.24226634860894303
GSM4602243	-0.43966858918106944	-0.2292091368872182	-0.24593620701616128	0.26863696804030857	0.014308316937591159	-0.08729894668696378	-0.15090271301261354	0.0963791812612684	0.3625534354312368	-0.07305218947342274	0.19340910831838218	-0.005517859617410026	-0.19132802299036777	-0.12173246745368148	0.1592415280503448	-0.2588700367689673	0.003631246309495878	-0.5015999967656796	-0.36513898317097104	-0.11806084102667812	-0.2468364665351344	-0.2801667787252613	-0.008089280528644605	0.18155205052388879	0.004282558030879624	0.04376308271783799	0.42478139270902054	0.47017385912005627	0.3270625731657456	-0.16454987102240087	-0.2895503195796373	-0.12697483275715127	0.06772547095452204	0.3192741330263167	0.04793941731114931	0.26863234946847014	-0.08624986974925587	-0.04838684196928503	-0.14286107450519442	-0.03354655054050698	-0.012459038229736402	-0.1179310909658967	-0.16724842351051225	-0.26575644071986304	0.012494688154791406	0.0715197429887392	0.11545800195421846	-0.09115942173180551	-0.10854142176867836	0.34020696114450205
GSM4602244	-0.15144093515545798	-0.1871216190197556	-0.38370637659487983	-0.24225703065170484	-0.21727453192600427	-0.4209452412102359	-0.012779725254503632	-0.3439164343332921	-8.672165088051131e-4	-0.06406407560767155	-0.06518826076740838	-0.21144976935017432	-0.2631478778362971	-0.18730019226912242	-0.3252127754483321	-0.17571387258912743	-0.34266360138419477	-0.15730554114398915	-0.08752927732375815	-0.23318311887312404	-0.1528054141141031	-0.21938668869737835	-0.047167554775832066	-0.2871169962060945	-0.32888564980587576	-0.21511695314767773	-0.017225707266835255	-0.2972616928979948	-0.3694470119413531	0.10370221370480864	0.03764876835449896	-0.2851971963019879	-0.0934538038208162	-0.33122318049815086	-0.1254042235530441	-0.35262288507198947	-0.3602995625488231	-0.16025332500226688	-0.21344494953983006	0.06702936296151449	-0.2785080564280326	0.03669282362633561	-0.20986675595024654	-0.10590794225419171	-0.10578556032348604	0.10648409935033408	0.03899029310176777	0.006374127865159895	0.18069627605807587	0.3437152346820539
GSM4602245	0.33023231854876867	0.04567588254444216	-0.12217830543670852	-0.00124826242674822	0.06578410272230015	-0.18079907614671653	0.19282330479941734	-0.050893274921378906	-0.19510180118132026	0.11485448074919911	-0.28642894615111314	-0.05684151295381967	-0.057801440029904505	0.02791573359540281	-0.11417877043760531	0.1644818965274039	-0.2585881434722632	-0.011263204521609005	-0.040849879059901145	0.032633401886262486	0.07376311050980089	-0.1172462721068723	0.09558763768311274	-0.19943499878069482	0.07376418293105896	-0.18280166854043334	-0.14452755002242734	-0.32296113545621613	-0.11777479189976606	0.11596288181710482	0.26600852392018487	0.09270909365197391	0.005021431010811456	0.048115843130199676	-0.17096267826187195	0.08634901540656245	0.20645029617274346	0.1141891261627845	-0.24736505697009423	0.16041043857472487	-0.05984790648094676	0.07376589771588121	0.05890810273303146	0.04027997859363654	-0.018762769764208348	0.06308124442024363	-0.14944203511836066	0.07547958614327041	0.26676552766721545	0.0845326759586113
GSM4602246	-0.1101814974861418	-0.13920633872311722	-0.34116499293198044	0.3612512913950415	0.0462349243568998	0.3326464248698412	-0.14351849483031798	0.3659918944565348	0.5884611532617107	0.007021005628736338	0.046774356710437504	-0.03874258975371267	-0.40703710314761626	-0.3505899123428869	-0.04748216162559871	-0.2784478706637315	0.09445947400005913	-0.3788626969598191	-0.13276842290814708	-0.20085855859387905	-0.18574408074491122	-0.20835519206798914	-0.11360270448798299	0.39189259094109186	0.2280475047596038	0.29629651312938626	0.6454272991337103	0.6899277000940475	0.5597134968920888	-0.3078899485125355	-0.30808762010170004	-0.2492877869015478	0.022074451321929173	0.42891359439368554	-0.15209739224931607	0.006555093185926925	-0.0566939649153321	0.08539849049237638	-0.08112075788182557	-0.16951779833583872	-0.045985290614030255	-0.3585341370543699	0.033540303598436294	-0.18225027310676978	-0.033446584288467085	0.29188394006684637	0.025660768768641096	-0.1591009984691068	-0.276288600987885	0.0011875411675382752
GSM4602247	-0.12517874841866614	-0.05813908298999759	-0.0323549317811927	0.20155909462096822	0.11176161989072866	-0.10080596913218814	-0.13715404118895305	-0.05576781540525838	0.11876771157849841	0.11452976360653475	-0.0023116578592771997	-0.07988294745235666	-0.18180918080927225	-0.061390753837589046	0.12632320561942742	0.006530628730040081	0.19970157135020242	0.07705853739853383	0.12451613822866023	-0.03873003490711066	-0.03906793700750136	-0.34518143231469645	0.011869783257894784	0.12746200825454565	0.09820927140166982	0.13781457425443586	0.08277076320489696	0.16438511122350535	-0.03398441139036418	-0.1802072359169734	0.039683370144830726	-0.042989830789134015	0.07674357561960823	-0.010728070858242483	-0.12380573689575536	-0.03301790656490125	-0.15362679045360148	-0.0653742022080934	-0.04439915264848254	-0.14909535107952504	0.15449648715450126	-0.10845095715456227	-0.002839271964820672	0.06547979967107143	0.033940210054334286	0.017327986878808183	-0.0531457743395366	0.1266883656820208	-0.08077093632867559	0.2884792857963003
GSM4602248	-0.13051479314556577	-0.1134692546626615	0.06993277182552851	-0.08939977644909894	0.051404651305061166	-0.02901469755865063	-0.0766104377499901	-0.1349599127483941	0.06713314921800281	-0.021167131413895368	-0.06319937972130224	-0.05724190481005617	-0.22354664885076408	-0.057338241925897204	-0.35167579819940803	0.026535300167306847	-0.029549452904282847	-0.3273333847640542	-0.16561182423900594	-0.12116704140781057	0.18086341277869317	-0.027830350988122365	-0.1880866398631614	-0.28513539689704814	-0.1604939442944939	-0.22553784496609325	-0.0970079238731352	-0.1813080268055553	-0.3107003079690808	0.0757155853653802	0.08170433104237049	0.00489374538422413	0.05233912432468249	-0.13832428451707093	0.0624780725987073	0.0702523650893532	-0.048980603256031846	-0.11219792876020157	0.008934289281686908	-0.02227701391672693	-0.10529369554168533	-0.09056827726113895	-0.02974525280025317	0.0802128363861546	-0.052095260475228916	-0.0627881513415039	-0.03524092974979731	-0.03658348715453341	0.09411498992344383	0.13805929138150574
GSM4602249	-0.29626225380298993	-0.09628086098540468	-0.002543462189586565	-0.051581317006335725	-0.01777231667217591	-0.04635020352440103	-0.36611502053551404	0.15682680268962945	-0.16327343509032743	0.09184381032367743	0.2575550911099174	0.03387988272511172	0.14173106092883936	0.08334670767739868	0.25376052125843634	0.06959900502818298	0.23068812181254686	0.3025536616577155	0.11913202236439362	-0.05650859716741234	-0.18549336168488278	0.2695342043894069	0.16217541966325766	0.12712730405802106	0.23134608767559872	0.042368996335704734	-0.2631656268436544	0.28332122354760086	0.19329811230825217	-0.09626457307609573	-0.3121175228748071	0.0919285269010735	0.08763400729306874	0.14974642615789932	0.02225962966019726	0.30119660996226494	0.055545888929749654	-0.046105942674492195	0.01517881242408231	-0.06865379505320852	0.1382292730511534	0.14537561041504582	-0.1988785348849917	-0.014670116028422373	-0.057628555198567466	-0.24365246997984502	-0.15290361379505285	-0.14710107661627872	0.05810969114265509	0.13222686274859216
GSM4602250	0.09029576964699004	0.025471208867952067	-0.15883550579616684	0.13953288518417697	-0.08131101012021275	0.36795962713401825	0.19467914637714176	-0.023078411091528722	0.23758497196571168	0.04888702188145422	-0.16502444389575602	-0.06489174388487515	0.09268822400299546	-0.0013914575736879709	0.1413583429188896	0.033911815469132744	0.04273812188535428	0.4853132949035037	0.2826831508120934	-0.0925220768362196	0.15205740290575998	-0.07415714263640535	0.06317832445805245	0.12957607373386862	0.09572988157692161	0.14608879302465938	0.04736837437140948	0.21895224168666555	0.043128640717075395	-0.21586391817423617	-0.040491588908967646	0.05690268292731415	0.063734113005681	0.13170243489354944	-0.05880163811209457	0.19894690872973653	0.02014465010091729	0.04939389998184088	-0.04540541302143464	-0.26259614181074065	0.007085026407592815	-0.024834715341629288	0.07937696275200137	-0.044671878913261326	-0.12161316925704015	0.12138818376768087	0.13410518681389405	0.0687768420386835	0.05500007134735181	-0.06253796478306764
